District,Liveability_Score
Mahesana,3.3886235906960698
Navsari,3.5909704133563753
Tapi,3.832834691758822
Narmada,3.836864676536881
Porbandar,3.849966303077573
Dahod,3.9623913543205456
Kachchh,3.998821659331057
Surendranagar,4.105199106764074
Gir Somnath,4.186688361284869
Valsad,4.480888369770911
Bharuch,4.558127536509063
Surat,4.6371382991899335
Banaskantha,4.760901988345239
Sabarkantha,4.886451099441936
Bhavnagar,4.916508286331106
Botad,4.984627645873216
Gandhinagar,5.03046035737795
Rajkot,5.042699230304874
Amreli,5.187136649961688
Anand,5.22921452518175
Chhota Udepur,5.24242049510882
Panchmahals,5.267779864214849
Junagadh,5.2713335889868524
Jamnagar,5.438335258390259
Patan,5.540456878710483
Morbi,5.548901680264896
Dangs,5.651210585307516
Ahmedabad,5.8407774551809
Devbhumi Dwarka,6.109922085062875
Vadodara,6.1220426177332
Mahisagar,6.149764046427644
Kheda,6.2685657401973405
Aravalli,6.332407876761616
